id,first_name,last_name,bats,throws,weight,height,debut,final_game,birth_year,birth_month,birth_day,birth_city,birth_state,birth_country
5499,Leo,Dixon,R,R,170,71,14/04/1925,17/08/1929,1894,9,4,Chicago,IL,USA
5500,Mickey,Cochrane,L,R,180,70,14/04/1925,25/05/1937,1903,4,6,Bridgewater,MA,USA
5501,Red,Smith,L,R,165,67,14/04/1925,26/09/1925,1899,7,17,Ashley,IL,USA
5502,Spence,Harris,L,L,145,69,14/04/1925,14/06/1930,1900,8,12,Duluth,MN,USA
5503,Turkey,Gross,R,R,165,72,14/04/1925,28/04/1925,1896,2,21,Mesquite,TX,USA
5504,Bill,Moore,R,R,195,75,15/04/1925,15/04/1925,1902,9,3,Corning,NY,USA
5505,Andy,Rush,R,R,180,75,16/04/1925,15/05/1925,1889,12,26,Hartland,KS,USA
5506,Bernard,Culloton,R,R,180,71,16/04/1925,11/06/1926,1896,5,19,Kingston,NY,USA
5507,Bill,Hallahan,R,L,170,70,16/04/1925,14/09/1938,1902,8,4,Binghamton,NY,USA
5508,Dick,Cox,R,R,158,67,16/04/1925,26/09/1926,1895,9,30,Pasadena,CA,USA
5509,Ernest,Vache,R,R,200,73,16/04/1925,22/09/1925,1889,11,17,Santa Monica,CA,USA
5510,Harry,Kelley,R,R,170,69,16/04/1925,23/07/1939,1906,2,13,Parkin,AR,USA
5511,Jerry,Standaert,R,R,168,70,16/04/1925,30/05/1929,1901,11,2,Chicago,IL,USA
5512,Roy,Carlyle,L,R,195,74,16/04/1925,13/09/1926,1900,12,10,Buford,GA,USA
5513,Chuck,Dressen,R,R,146,65,17/04/1925,01/10/1933,1894,9,20,Decatur,IL,USA
5514,Hank,Johnson,R,R,175,71,17/04/1925,19/09/1939,1906,5,21,Bradenton,FL,USA
5515,Ken,Ash,R,R,165,71,17/04/1925,26/09/1930,1901,9,16,Anmoore,WV,USA
5516,Lou,Koupal,R,R,175,71,17/04/1925,26/09/1937,1898,12,19,Tabor,SD,USA
5517,Andy,Harrington,R,R,170,71,18/04/1925,18/04/1925,1903,2,12,Mountain View,CA,USA
5518,C L,Taylor,R,R,160,69,18/04/1925,20/05/1925,1898,2,9,Burnet,TX,USA
5519,Frank,Ulrich,R,R,195,74,18/04/1925,01/10/1927,1899,11,18,NULL,NULL,Austria
5520,Joe,Giard,L,L,170,70,18/04/1925,25/09/1927,1898,10,7,Ware,MA,USA
5521,John,Bischoff,R,R,165,67,18/04/1925,22/09/1926,1894,10,28,Edwardsville,IL,USA
5522,Oran,O'Neal,R,R,160,71,18/04/1925,27/05/1927,1899,5,2,Gatewood,MO,USA
5523,Roy,Spencer,R,R,168,70,19/04/1925,09/05/1938,1900,2,22,Scranton,NC,USA
5524,Chet,Falk,L,L,170,74,20/04/1925,28/06/1927,1905,5,15,Austin,TX,USA
5525,George,Blaeholder,R,R,175,71,20/04/1925,22/09/1936,1904,1,26,Orange,CA,USA
5526,Al,Niehaus,R,R,175,71,22/04/1925,23/09/1925,1899,6,1,Cincinnati,OH,USA
5527,Heinie,Odom,B,R,170,72,22/04/1925,22/04/1925,1900,10,13,Rusk,TX,USA
5528,Paul,Wanninger,L,R,150,67,22/04/1925,27/06/1927,1902,12,12,Birmingham,AL,USA
5529,Pip,Koehler,R,R,165,70,22/04/1925,12/09/1925,1902,1,16,Gilbert,PA,USA
5530,Joe,Ogrodowski,R,R,165,71,27/04/1925,27/04/1925,1906,11,20,Hoytville,PA,USA
5531,Brad,Springer,L,L,155,72,01/05/1925,23/04/1926,1904,5,9,Detroit,MI,USA
5532,Elbert,Andrews,L,R,175,72,01/05/1925,12/06/1925,1901,12,11,Greenwood,SC,USA
5533,Jimmie,Foxx,R,R,195,72,01/05/1925,23/09/1945,1907,10,22,Sudlersville,MD,USA
5534,Bud,Connolly,R,R,154,68,03/05/1925,28/07/1925,1901,5,25,San Francisco,CA,USA
5535,Art,Stokes,R,R,155,70,05/05/1925,09/07/1925,1896,9,13,Emmitsburg,MD,USA
5536,Al,Stokes,R,R,175,69,10/05/1925,17/09/1926,1900,1,1,Chicago,IL,USA
5537,Oscar,Siemer,R,R,162,69,20/05/1925,18/09/1926,1901,8,14,St. Louis,MO,USA
5538,Mandy,Brooks,R,R,165,69,30/05/1925,22/06/1926,1897,8,18,Milwaukee,WI,USA
5539,Tom,Glass,R,R,170,75,12/06/1925,15/06/1925,1898,4,29,Greensboro,NC,USA
5540,Horace,Kibbie,R,R,150,70,13/06/1925,24/06/1925,1903,7,18,Fort Worth,TX,USA
5541,Tom,Sullivan,R,R,190,72,14/06/1925,14/06/1925,1906,12,19,Nome,AK,USA
5542,Charlie,Berry,R,R,185,72,15/06/1925,08/09/1938,1902,10,18,Phillipsburg,NJ,USA
5543,Doc,Farrell,R,R,160,68,15/06/1925,01/05/1935,1901,12,26,Johnson City,NY,USA
5544,Ownie,Carroll,R,R,165,70,20/06/1925,21/09/1934,1902,11,11,Kearny,NJ,USA
5545,Doc,Gautreau,R,R,129,64,22/06/1925,29/09/1928,1901,7,26,Cambridge,MA,USA
5546,Bill,Vargus,L,L,165,72,23/06/1925,26/06/1926,1899,11,11,North Scituate,MA,USA
5547,Shanty,Hogan,R,R,240,73,23/06/1925,13/06/1937,1906,3,21,Somerville,MA,USA
5548,Gene,Bedford,B,R,170,68,25/06/1925,16/09/1925,1896,12,2,Dallas,TX,USA
5549,Jake,Freeze,R,R,150,68,01/07/1925,02/07/1925,1900,4,25,Huntington,AR,USA
5550,Art,Jahn,R,R,180,72,02/07/1925,17/09/1928,1895,12,2,Struble,IA,USA
5551,Foster,Edwards,R,R,175,75,02/07/1925,21/05/1930,1903,9,1,Holstein,IA,USA
5552,Leo,Tankersley,R,R,176,72,02/07/1925,02/07/1925,1901,6,8,Terrell,TX,USA
5553,Charles,Tolson,R,R,185,72,03/07/1925,16/08/1930,1898,11,6,Washington,DC,USA
5554,Charlie,Caldwell,R,R,180,70,07/07/1925,16/07/1925,1901,8,2,Bristol,VA,USA
5555,Spencer,Pumpelly,NULL,R,175,71,11/07/1925,11/07/1925,1893,4,11,Owego,NY,USA
5556,Hal,Neubauer,R,R,185,72,12/07/1925,08/09/1925,1902,5,13,Hoboken,NJ,USA
5557,Abie,Hood,L,R,152,67,13/07/1925,17/07/1925,1903,1,31,Sanford,NC,USA
5558,Lloyd,Brown,L,L,170,69,17/07/1925,10/08/1940,1904,12,25,Beeville,TX,USA
5559,Jack,Rothrock,B,R,165,71,28/07/1925,02/10/1937,1905,3,14,Long Beach,CA,USA
5560,Jule,Mallonee,L,R,180,74,04/08/1925,23/08/1925,1900,4,4,Charlotte,NC,USA
5561,Jim,Marquis,R,R,174,71,08/08/1925,11/08/1925,1900,11,18,Yoakum,TX,USA
5562,Ollie,Klee,L,L,160,69,10/08/1925,26/08/1925,1900,5,20,Piqua,OH,USA
5563,Freddie,Fitzsimmons,R,R,185,71,12/08/1925,16/07/1943,1901,7,28,Mishawaka,IN,USA
5564,Earl,Webb,L,R,185,73,13/08/1925,01/10/1933,1897,9,17,White County,TN,USA
5565,Mule,Haas,L,R,175,73,15/08/1925,01/09/1938,1903,10,15,Montclair,NJ,USA
5566,Guy,Cantrell,R,R,190,72,18/08/1925,28/09/1930,1904,4,9,Clarita,OK,USA
5567,Johnny,Hodapp,R,R,185,72,19/08/1925,23/09/1933,1905,9,26,Cincinnati,OH,USA
5568,Roy,Luebbe,B,R,175,72,22/08/1925,19/09/1925,1900,9,17,Parkersburg,IA,USA
5569,Win,Ballou,R,R,170,70,24/08/1925,15/09/1929,1897,11,30,Mount Morgan,KY,USA
5570,Jumbo,Brown,R,R,295,76,26/08/1925,27/08/1941,1907,4,30,Greene,RI,USA
5571,John,Kane,B,R,162,70,03/09/1925,18/09/1925,1900,2,19,Chicago,IL,USA
5572,Fresco,Thompson,R,R,150,68,05/09/1925,22/04/1934,1902,6,6,Centreville,AL,USA
5573,Red,Holt,L,L,175,71,05/09/1925,03/10/1925,1894,7,25,Dayton,TN,USA
5574,Jim,Keesey,R,R,170,72,06/09/1925,25/06/1930,1902,10,27,Perryville,MO,USA
5575,Ike,Eichrodt,R,R,167,71,07/09/1925,23/06/1931,1903,1,6,Chicago,IL,USA
5576,Mark,Koenig,B,R,180,72,08/09/1925,27/09/1936,1904,7,19,San Francisco,CA,USA
5577,Simon,Rosenthal,L,L,165,69,08/09/1925,26/09/1926,1903,11,13,Boston,MA,USA
5578,Bill,Anderson,R,L,165,73,10/09/1925,17/09/1925,1895,11,28,Boston,MA,USA
5579,George,Durning,R,R,175,71,12/09/1925,26/09/1925,1898,5,9,Philadelphia,PA,USA
5580,Dutch,Ussat,R,R,170,73,13/09/1925,02/10/1927,1904,4,11,Dayton,OH,USA
5581,Charlie,Engle,R,R,145,68,14/09/1925,27/09/1930,1903,8,27,New York,NY,USA
5582,Herb,Welch,L,R,154,66,15/09/1925,01/10/1925,1898,10,19,Ro Ellen,TN,USA
5583,Tom,Jenkins,L,R,174,73,15/09/1925,26/06/1932,1898,4,10,Camden,AL,USA
5584,Alex,Metzler,L,R,167,69,16/09/1925,28/09/1930,1903,1,4,Fresno,CA,USA
5585,Bob,Osborn,R,R,175,73,16/09/1925,24/09/1931,1903,4,17,San Diego,TX,USA
5586,Gale,Staley,L,R,167,68,16/09/1925,02/10/1925,1899,5,2,De Pere,WI,USA
5587,Mel,Kerr,L,L,155,71,16/09/1925,16/09/1925,1903,5,22,Souris,MB,CAN
5588,Claude,Willoughby,R,R,165,69,18/09/1925,28/05/1931,1898,11,14,Buffalo,KS,USA
5589,Joe,Munson,L,R,184,69,18/09/1925,04/06/1926,1899,11,6,Renovo,PA,USA
5590,Chuck,Corgan,B,R,180,71,19/09/1925,01/10/1927,1902,12,4,Wagoner,OK,USA
5591,Frank,McGee,R,R,175,71,19/09/1925,30/09/1925,1899,4,29,Columbus,OH,USA
5592,Hugh,McMullen,B,R,180,73,19/09/1925,20/04/1929,1901,12,16,La Cygne,KS,USA
5593,Roy,Hutson,L,R,165,69,20/09/1925,01/10/1925,1902,2,27,Luray,MO,USA
5594,Bob,Adams,R,R,168,71,22/09/1925,23/09/1925,1901,7,24,Holyoke,MA,USA
5595,Mike,Herrera,R,R,147,66,22/09/1925,22/09/1926,1892,12,19,La Habana,La Habana,Cuba
5596,Carl,Husta,R,R,176,71,24/09/1925,03/10/1925,1902,4,8,Egg Harbor City,NJ,USA
5597,Jack,Warner,R,R,165,69,24/09/1925,30/09/1933,1903,8,29,Evansville,IN,USA
5598,Buddy,Myer,L,R,163,70,26/09/1925,24/09/1941,1904,3,16,Ellisville,MS,USA
5599,Frank,McCrea,R,R,155,69,26/09/1925,26/09/1925,1896,9,6,Jersey City,NJ,USA
5600,Lefty,Thomas,L,L,183,72,26/09/1925,26/09/1926,1903,10,4,Glade Springs,VA,USA
5601,Ray,Benge,R,R,160,69,26/09/1925,02/06/1938,1902,4,22,Jacksonville,TX,USA
5602,Al,Moore,R,R,174,70,27/09/1925,24/09/1926,1902,8,4,Brooklyn,NY,USA
5603,Jim,Lyle,R,R,180,73,02/10/1925,02/10/1925,1900,7,24,Lake,MS,USA
5604,Leo,Durocher,R,R,160,70,02/10/1925,18/04/1945,1905,7,27,West Springfield,MA,USA
5605,Gil,Paulsen,R,R,190,74,03/10/1925,03/10/1925,1902,11,14,Graettinger,IA,USA
5606,Lefty,Willis,L,L,175,73,03/10/1925,12/07/1927,1905,11,4,Leetown,WV,USA
5607,Otis,Carter,R,R,175,70,03/10/1925,26/09/1926,1902,9,30,Langley,SC,USA
5608,Bunny,Hearn,L,L,160,68,13/04/1926,25/06/1929,1904,1,13,Brooklyn,NY,USA
5609,Hal,Wiltse,L,L,168,69,13/04/1926,20/04/1931,1903,8,6,Clay City,IL,USA
5610,Joe,Kelly,L,L,180,72,13/04/1926,25/09/1928,1900,4,23,New York,NY,USA
5611,Paul,Waner,L,L,153,68,13/04/1926,26/04/1945,1903,4,16,Harrah,OK,USA
5612,Pete,Scott,R,R,175,71,13/04/1926,27/09/1928,1897,12,21,Woodland,CA,USA
5613,Sam,Langford,L,R,180,72,13/04/1926,21/09/1928,1900,5,21,Briggs,TX,USA
5614,Tony,Lazzeri,R,R,170,71,13/04/1926,07/06/1939,1903,12,6,San Francisco,CA,USA
5615,Tony,Welzer,R,R,160,71,13/04/1926,21/09/1927,1899,4,5,NULL,NULL,Germany
5616,Ty,Tyson,R,R,169,71,13/04/1926,03/07/1928,1892,6,1,Wilkes-Barre,PA,USA
5617,Walter,Christensen,L,L,156,66,13/04/1926,04/08/1927,1899,10,24,San Francisco,CA,USA
5618,Babe,Herman,L,L,190,76,14/04/1926,16/09/1945,1903,6,26,Buffalo,NY,USA
5619,Eddie,Taylor,R,R,160,66,14/04/1926,29/09/1926,1901,11,17,Chicago,IL,USA
5620,Johnny,Werts,R,R,180,70,14/04/1926,22/05/1929,1898,4,20,Pomaria,SC,USA
5621,Nick,Cullop,R,R,200,72,14/04/1926,27/09/1931,1900,10,16,St. Louis,MO,USA
5622,Joe,Pate,L,L,184,70,15/04/1926,19/07/1927,1892,6,6,Alice,TX,USA
5623,Stew,Bolen,L,L,180,71,15/04/1926,16/05/1932,1902,10,12,Jackson,AL,USA
5624,Augie,Johns,L,L,170,68,16/04/1926,23/04/1927,1899,9,10,St. Louis,MO,USA
5625,Bill,Hunnefield,B,R,165,70,17/04/1926,27/09/1931,1899,1,5,Dedham,MA,USA
5626,Lee,Dunham,L,L,185,71,17/04/1926,24/09/1926,1902,6,9,Atlanta,IL,USA
5627,Pat,Veltman,R,R,175,72,17/04/1926,30/09/1934,1906,3,24,Mobile,AL,USA
5628,Ray,Moss,R,R,185,73,17/04/1926,02/08/1931,1901,12,5,Chattanooga,TN,USA
5629,Tommy,Thomas,R,R,175,70,17/04/1926,27/09/1937,1899,12,23,Baltimore,MD,USA
5630,Hal,Rhyne,R,R,163,68,18/04/1926,01/10/1933,1899,3,30,Paso Robles,CA,USA
5631,Johnny,Butler,R,R,175,72,18/04/1926,05/10/1929,1893,3,20,Fall River,KS,USA
5632,Myles,Thomas,R,R,170,69,18/04/1926,21/06/1930,1897,10,22,State College,PA,USA
5633,Oscar,Melillo,R,R,150,68,18/04/1926,18/09/1937,1899,8,4,Chicago,IL,USA
5634,Joe,Buskey,R,R,160,65,19/04/1926,28/04/1926,1902,12,18,Cumberland,MD,USA
5635,Sam,Gibson,L,R,198,74,19/04/1926,18/09/1932,1899,8,5,King,NC,USA
5636,Bill,Morrell,R,R,172,72,20/04/1926,05/08/1931,1893,4,9,Hyde Park,MA,USA
5637,Bump,Hadley,R,R,190,71,20/04/1926,16/09/1941,1904,7,5,Lynn,MA,USA
5638,Honey,Barnes,L,R,175,70,20/04/1926,20/04/1926,1900,1,31,Fulton,NY,USA
5639,George,Smith,R,R,175,73,21/04/1926,17/09/1930,1901,10,27,Louisville,KY,USA
5640,Rufus,Meadows,L,L,175,71,23/04/1926,23/04/1926,1907,8,25,Chase City,VA,USA
5641,Ed,Baecht,R,R,195,75,24/04/1926,03/09/1937,1907,5,15,Paden,OK,USA
5642,Ernie,Nevers,R,R,205,72,26/04/1926,04/05/1928,1902,6,11,Willow River,MN,USA
5643,Mel,Ott,L,R,170,69,27/04/1926,11/07/1947,1909,3,2,Gretna,LA,USA
5644,Joe,Cronin,R,R,180,71,29/04/1926,19/04/1945,1906,10,12,San Francisco,CA,USA
5645,Jack,Russell,R,R,178,73,05/05/1926,07/08/1940,1905,10,24,Paris,TX,USA
5646,Guy,Lacy,R,R,170,71,07/05/1926,17/08/1926,1897,6,12,Cleveland,TN,USA
5647,Clyde,Beck,R,R,176,70,19/05/1926,11/09/1931,1900,1,6,Bassett,CA,USA
5648,Norm,Lehr,R,R,168,72,20/05/1926,15/07/1926,1901,5,28,Rochester,NY,USA
5649,Paul,Florence,B,R,185,73,21/05/1926,24/09/1926,1900,4,22,Chicago,IL,USA
5650,Johnny,Welch,L,R,184,75,22/05/1926,26/08/1936,1906,12,2,Washington,DC,USA
5651,Pryor,McBee,R,L,190,73,22/05/1926,22/05/1926,1901,6,20,Blanco,OK,USA
5652,Mul,Holland,R,R,185,76,25/05/1926,29/07/1929,1903,1,6,Franklin,VA,USA
5653,Leon,Williams,L,L,154,70,26/05/1926,06/09/1926,1905,12,2,Macon,GA,USA
5654,Andy,Cohen,R,R,155,68,31/05/1926,05/10/1929,1904,10,25,Baltimore,MD,USA
5655,Clyde,Sukeforth,L,R,155,70,31/05/1926,07/06/1945,1901,11,30,Washington,ME,USA
5656,Bill,Regan,R,R,155,70,02/06/1926,14/06/1931,1899,1,23,Pittsburgh,PA,USA
5657,Kiddo,Davis,R,R,178,71,05/06/1926,07/05/1938,1902,2,12,Bridgeport,CT,USA
5658,Bobby,Reeves,R,R,170,71,09/06/1926,13/09/1931,1904,6,24,Hill City,TN,USA
5659,Ed,Cotter,R,R,185,72,12/06/1926,11/08/1926,1904,7,4,Hartford,CT,USA
5660,Ethan,Allen,R,R,180,73,13/06/1926,18/06/1938,1904,1,1,Cincinnati,OH,USA
5661,Joe,Connell,L,L,165,68,15/06/1926,20/06/1926,1902,1,16,Bethlehem,PA,USA
5662,Al,Smith,R,R,170,72,18/06/1926,18/06/1926,1903,12,13,Norristown,PA,USA
5663,Pete,Cote,R,R,148,66,18/06/1926,22/06/1926,1902,8,30,Cambridge,MA,USA
5664,Jim,Boyle,R,R,180,72,20/06/1926,20/06/1926,1904,1,19,Cincinnati,OH,USA
5665,Howie,Carter,R,R,154,70,21/06/1926,31/07/1926,1904,10,13,New York,NY,USA
5666,Hal,Goldsmith,R,R,174,72,23/06/1926,23/08/1929,1898,8,18,Peconic,NY,USA
5667,Ray,Hayworth,R,R,180,72,27/06/1926,18/06/1945,1904,1,29,High Point,NC,USA
5668,Danny,Taylor,R,R,190,70,30/06/1926,10/07/1936,1900,12,23,Lash,PA,USA
5669,Rusty,Yarnall,R,R,175,72,30/06/1926,30/06/1926,1902,10,22,Chicago,IL,USA
5670,Bill,Clowers,L,L,175,71,20/07/1926,21/07/1926,1898,8,14,San Marcos,TX,USA
5671,Jimmy,Uchrinscko,L,R,180,72,20/07/1926,25/07/1926,1900,10,20,West Newton,PA,USA
5672,General,Crowder,L,R,170,70,24/07/1926,22/06/1936,1899,1,11,Winston-Salem,NC,USA
5673,Dave,Barbee,R,R,178,71,29/07/1926,25/09/1932,1905,5,7,Greensboro,NC,USA
5674,Chet,Nichols,R,R,160,71,30/07/1926,29/05/1932,1897,7,3,Woonsocket,RI,USA
5675,Ned,Porter,R,R,173,72,07/08/1926,02/05/1927,1905,7,6,Apalachicola,FL,USA
5676,Sid,Womack,R,R,200,71,15/08/1926,15/08/1926,1896,10,2,Greensburg,LA,USA
5677,Willis,Hudlin,R,R,190,72,15/08/1926,31/08/1944,1906,5,23,Wagoner,OK,USA
5678,George,Stutz,R,R,150,65,17/08/1926,28/08/1926,1889,2,13,Philadelphia,PA,USA
5679,Fred,Brickell,L,R,160,67,19/08/1926,01/05/1933,1906,11,9,Saffordville,KS,USA
5680,Danny,MacFayden,R,R,170,71,25/08/1926,13/09/1943,1905,6,10,North Truro,MA,USA
5681,Moose,Clabaugh,L,R,185,72,30/08/1926,25/09/1926,1901,11,13,Albany,MO,USA
5682,Roy,Mahaffey,R,R,180,72,31/08/1926,28/07/1936,1904,2,9,Belton,SC,USA
5683,Bob,Rice,R,R,170,70,01/09/1926,29/09/1926,1899,5,28,Philadelphia,PA,USA
5684,Frank,Sigafoos,R,R,170,69,03/09/1926,30/05/1931,1904,3,21,Easton,PA,USA
5685,Mike,Kelly,R,R,178,73,03/09/1926,16/09/1926,1902,11,9,St. Louis,MO,USA
5686,Lefty,Taber,L,L,180,72,04/09/1926,30/09/1927,1900,1,11,Rock Island,IL,USA
5687,Mike,Smith,L,R,170,71,04/09/1926,20/09/1926,1904,11,16,Norfolk,VA,USA
5688,Bill,Moore,L,R,170,71,07/09/1926,01/10/1927,1901,12,12,Kansas City,MO,USA
5689,Pid,Purdy,L,R,150,66,07/09/1926,15/09/1929,1904,6,15,Beatrice,NE,USA
5690,Denny,Sothern,R,R,175,71,10/09/1926,21/09/1931,1904,1,20,Washington,DC,USA
5691,Dick,Jones,L,R,184,72,11/09/1926,28/04/1927,1902,5,22,Meadville,MS,USA
5692,Jack,Cummings,R,R,195,72,11/09/1926,18/07/1929,1904,4,1,Pittsburgh,PA,USA
5693,Les,Cox,R,R,164,72,11/09/1926,21/09/1926,1904,8,14,Junction,TX,USA
5694,Adam,Comorosky,R,R,167,70,13/09/1926,18/09/1935,1904,12,9,Swoyersville,PA,USA
5695,Dick,Attreau,L,L,160,72,14/09/1926,28/09/1927,1897,4,8,Chicago,IL,USA
5696,Joe,Poetz,R,R,175,70,14/09/1926,22/09/1926,1900,6,22,St. Louis,MO,USA
5697,Pete,Rambo,R,R,150,69,16/09/1926,16/09/1926,1906,11,1,Thorofare,NJ,USA
5698,Russ,Ennis,R,R,160,71,19/09/1926,19/09/1926,1897,3,10,Superior,WI,USA
5699,Jim,Hamby,R,R,170,72,20/09/1926,27/05/1927,1897,7,29,Wilkesboro,NC,USA
5700,Rudy,Kneisch,R,L,175,70,21/09/1926,26/09/1926,1899,4,10,Baltimore,MD,USA
5701,Frank,Loftus,R,R,190,69,26/09/1926,26/09/1926,1898,3,10,Scranton,PA,USA
5702,Joe,Graves,R,R,160,70,26/09/1926,26/09/1926,1906,2,26,Marblehead,MA,USA
5703,Scottie,Slayback,R,R,165,68,26/09/1926,26/09/1926,1901,10,5,Paducah,KY,USA
5704,Bob,Way,R,R,168,70,12/04/1927,15/05/1927,1906,4,2,Emlenton,PA,USA
5705,Dud,Branom,L,L,190,73,12/04/1927,31/05/1927,1897,11,30,Sulphur Springs,TX,USA
5706,Jay,Partridge,L,R,160,71,12/04/1927,21/07/1928,1902,11,15,Mountville,GA,USA
5707,Joe,Boley,R,R,170,71,12/04/1927,29/06/1932,1896,7,19,Mahanoy City,PA,USA
5708,Lloyd,Waner,L,R,150,69,12/04/1927,16/09/1945,1906,3,16,Harrah,OK,USA
5709,Randy,Moore,L,R,185,72,12/04/1927,07/09/1937,1906,6,21,Naples,TX,USA
5710,Charlie,Barnabe,L,L,164,71,14/04/1927,13/05/1928,1900,6,12,Russell Gulch,CO,USA
5711,Julie,Wera,R,R,164,68,14/04/1927,06/10/1929,1902,2,9,Winona,MN,USA
5712,Wilcy,Moore,R,R,195,72,14/04/1927,28/09/1933,1897,5,20,Bonita,TX,USA
5713,Andy,Reese,R,R,180,71,15/04/1927,27/08/1930,1904,2,7,Tupelo,MS,USA
5714,Fred,Schulte,R,R,183,73,15/04/1927,03/10/1937,1901,1,13,Belvidere,IL,USA
5715,Art,Mills,R,R,155,70,16/04/1927,11/06/1928,1903,3,2,Utica,NY,USA
5716,Bobby,Burke,L,L,150,72,16/04/1927,04/05/1937,1907,1,23,Joliet,IL,USA
5717,Herman,Layne,R,R,165,71,16/04/1927,31/05/1927,1901,2,13,New Haven,WV,USA
5718,Ollie,Tucker,L,R,180,71,17/04/1927,30/09/1928,1902,1,27,Radiant,VA,USA
5719,Otis,Miller,R,R,168,70,17/04/1927,29/04/1932,1901,2,2,Belleville,IL,USA
5720,Red,Rollings,L,R,167,71,17/04/1927,11/09/1930,1904,3,31,Mobile,AL,USA
5721,Sam,West,L,L,165,71,17/04/1927,24/09/1942,1904,10,5,Longview,TX,USA
5722,Art,Ruble,L,R,168,70,18/04/1927,13/05/1934,1903,3,11,Knoxville,TN,USA
5723,Dick,Spalding,L,L,185,71,18/04/1927,12/07/1928,1893,10,13,Philadelphia,PA,USA
5724,George,Gerken,R,R,175,71,19/04/1927,30/09/1928,1903,7,28,Chicago,IL,USA
5725,Don,Hankins,R,R,183,75,23/04/1927,03/09/1927,1902,2,9,Pendleton,IN,USA
5726,Hap,Collard,R,R,170,72,23/04/1927,22/09/1930,1898,8,29,Williams,AZ,USA
5727,Horace,Lisenbee,R,R,170,71,23/04/1927,07/09/1945,1898,9,23,Clarksville,TN,USA
5728,Merv,Shea,R,R,175,71,23/04/1927,19/08/1944,1900,9,5,San Francisco,CA,USA
5729,Woody,English,R,R,155,70,26/04/1927,01/07/1938,1906,3,2,Fredonia,OH,USA
5730,Mose,Eggert,R,R,160,69,27/04/1927,01/10/1927,1902,1,29,Rochester,NY,USA
5731,Dick,Coffman,R,R,195,74,28/04/1927,28/06/1945,1906,12,18,Veto,AL,USA
5732,Harry,O'Donnell,R,R,175,68,30/04/1927,30/09/1927,1894,4,2,Philadelphia,PA,USA
5733,Jim,Walkup,R,L,150,68,30/04/1927,16/05/1927,1895,11,3,Havana,AR,USA
5734,Wally,Roettger,R,R,190,73,01/05/1927,30/09/1934,1902,8,28,St. Louis,MO,USA
5735,Bill,Clarkson,R,R,160,71,02/05/1927,06/10/1929,1898,9,27,Portsmouth,VA,USA
5736,Johnny,Burnett,L,R,175,71,07/05/1927,29/09/1935,1904,11,1,Bartow,FL,USA
5737,Herb,Bradley,R,R,170,72,09/05/1927,15/07/1929,1903,1,3,Agenda,KS,USA
5738,John,Wilson,R,R,164,74,09/05/1927,24/04/1928,1903,4,25,Coal City,AL,USA
5739,Carlisle,Littlejohn,R,R,175,70,11/05/1927,23/06/1928,1901,10,6,Irene,TX,USA
5740,Harry,Wilke,R,R,171,70,12/05/1927,14/05/1927,1900,12,14,Cincinnati,OH,USA
5741,Cleo,Carlyle,L,R,170,72,16/05/1927,01/10/1927,1902,9,7,Fairburn,GA,USA
5742,Joe,Brown,R,R,176,72,17/05/1927,17/05/1927,1900,7,3,Little Rock,AR,USA
5743,Henry,Baldwin,R,R,180,71,22/05/1927,03/06/1927,1894,6,13,Chadds Ford,PA,USA
5744,Carroll,Yerkes,R,L,180,71,31/05/1927,25/04/1933,1903,6,13,McSherrystown,PA,USA
5745,Red,Smith,R,R,185,70,31/05/1927,31/05/1927,1904,5,18,Brokaw,WI,USA
5746,Overton,Tremper,R,R,163,70,16/06/1927,30/09/1928,1906,3,22,Brooklyn,NY,USA
5747,John,Freeman,R,R,160,68,17/06/1927,04/07/1927,1901,1,24,Boston,MA,USA
5748,Arlie,Tarbert,R,R,160,72,18/06/1927,01/05/1928,1904,9,10,Cleveland,OH,USA
5749,Hank,Grampp,R,R,185,73,21/06/1927,06/10/1929,1903,9,28,New York,NY,USA
5750,Marty,Karow,R,R,170,70,21/06/1927,04/07/1927,1904,7,18,Braddock,PA,USA
5751,Tommy,Sewell,L,R,155,67,21/06/1927,21/06/1927,1906,4,16,Titus,AL,USA
5752,Jack,White,B,R,150,67,22/06/1927,19/04/1928,1905,8,31,New York,NY,USA
5753,Neal,Baker,R,R,175,73,26/06/1927,26/07/1927,1904,4,30,La Porte,TX,USA
5754,Fay,Thomas,R,R,195,74,27/06/1927,29/09/1935,1903,10,10,Holyrood,KS,USA
5755,Hank,Boney,L,R,176,71,28/06/1927,13/07/1927,1903,10,28,Wallace,NC,USA
5756,Dinny,McNamara,L,R,165,69,02/07/1927,30/05/1928,1905,9,16,Lexington,MA,USA
5757,Les,Sweetland,R,L,155,71,04/07/1927,21/09/1931,1901,8,15,St. Ignace,MI,USA
5758,Heinie,Schuble,R,R,152,69,08/07/1927,15/05/1936,1906,11,1,Houston,TX,USA
5759,Luke,Urban,R,R,168,68,19/07/1927,21/06/1928,1887,3,22,Fall River,MA,USA
5760,Sid,Graves,R,R,170,72,23/07/1927,05/08/1927,1901,11,30,Marblehead,MA,USA
5761,Buzz,Wetzel,R,R,162,73,25/07/1927,28/07/1927,1894,8,25,Jay,OK,USA
5762,Ike,Powers,R,R,188,72,26/07/1927,03/09/1928,1906,3,13,Hancock,MD,USA
5763,Jim,Beckman,R,R,172,70,27/07/1927,22/09/1928,1905,3,1,Cincinnati,OH,USA
